mean_timeI,mean_timeRT,mean_timeD,stdev_timeI,stdev_timeRT,stdev_timeD
0.0002357,0.0046867,0.0001429,2.6733458021321855e-05,0.0002282489138345825,5.378444632667206e-05
0.00024160000000000002,0.0047147000000000005,0.000122,4.316685971642804e-05,0.0001743158372354937,1.6261747890200622e-05
0.0002469,0.0056466,0.000125,3.828968529512876e-05,0.001431518789413693,1.6034684627740922e-05
0.0002384,0.0053495,0.0001142,4.336716627946898e-05,0.0012968869778563331,7.612854625930769e-06
0.00023370000000000002,0.0051546000000000005,0.0001361,4.006674986125583e-05,0.00018310543410833004,6.310036097801308e-05
0.0002395,0.0054243,0.0001362,3.725959980699979e-05,0.000470390393420425,5.026993800142056e-05
0.000243,0.0058406,0.00012780000000000002,3.366171580759233e-05,0.0010159539797101485,2.839326993809937e-05
0.000264,0.0056043,0.00013240000000000002,7.810960959517793e-05,0.0004210442177887416,2.035900019374451e-05
0.00022889999999999998,0.0060948,0.0001211,3.388690340267493e-05,0.0011625586532395783,1.0545667883596144e-05
0.0002519,0.0057741,0.0001165,4.293781032558082e-05,0.00025860585625404723,8.343327340522551e-06
0.00025560000000000003,0.007231,0.0001396,4.701583657544434e-05,0.0022972358269112135,4.364808765061255e-05
0.0002726,0.006321200000000001,0.0001284,0.00011834150206546777,0.0003356949011627474,8.591985930052622e-06
0.0002459,0.006614299999999999,0.0001223,2.292233263290046e-05,0.0005825644551845267,1.0873515224311468e-05
0.000261,0.006370099999999999,0.0001274,7.02060459568041e-05,0.0003897872496631976,1.333499989584635e-05
0.0002928,0.006683699999999999,0.00013209999999999999,0.00012110307822493842,0.0007093529210954631,1.707792597347686e-05
0.00023779999999999998,0.007918999999999999,0.00013099999999999999,2.9820947149426505e-05,0.0025778551377280906,2.0591260281974003e-05
0.0002437,0.0072098,0.000125,2.3865595879145078e-05,0.0009129685159473523,1.6329931618554516e-05
0.0002735,0.007272099999999999,0.0001338,4.9498035875735054e-05,0.0009480686156602801,2.1342706274301565e-05
0.00027079999999999997,0.0073681,0.0001249,5.755345341506451e-05,0.0007968377013057443,1.65894879701307e-05
0.00026440000000000003,0.007406600000000001,0.0001373,3.572798467432621e-05,0.0009204363940846512,2.0380001090393605e-05
0.0002483,0.008048099999999999,0.0001321,2.4743349274771462e-05,0.0016126681445494124,1.7916162783612147e-05
0.00025009999999999995,0.008199399999999999,0.00012570000000000002,2.8976810651891204e-05,0.0011694747348940703,7.930952023559338e-06
0.000264,0.0079722,0.0001415,4.8570681600231955e-05,0.0005745144423288629,1.817965896269784e-05
